OBJECTID,STNAME,COUNT_LOCATION,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID
282,S SPOKANE ST,"S SPOKANE (NR&SR) ST, W/O 4TH AVE S",2014,21329,9500,316594
283,9TH AVE,"9TH AVE, NW/O LENORA ST",2014,8526,4000,313297
284,9TH AVE NE ON RAMP,"9TH AVE NE, S/O NE 75TH ST",2014,8554,7700,314641
285,LAKESIDE AVE S,"LAKESIDE AVE S, S/O S DEARBORN ST",2014,11264,8000,313857
286,1ST AVE S,"1ST AVE S, S/O S HORTON ST",2014,1211,23800,315984
287,BALLARD BR,,0,9047,54500,2013
288,VALLEY ST,,0,13267,31900,2013
289,CHERRY ST,,0,0,0,0
290,NE PACIFIC PL,,0,0,0,0
291,JAMES ST,,0,0,0,0
292,MADISON ST,,0,0,0,0
293,COLMAN DOCK,WSDOT data,0,534681,11000,0
294,ALASKAN WY VI NB & SB,WSDOT data,2014,8766,47000,0
295,ALASKAN WAY S,,0,0,0,0
296,BATTERY ST TUNNEL NB & SB,WSDOT data,2014,9080,43000,0
297,S JACKSON ST,,0,20488,13700,2013
299,ALASKAN WAY VI SB OFF RP,,0,0,0,0
300,AURORA AVE N,WSDOT data,2014,8924,47000,0
301,AURORA AVE N,WSDOT data,2014,8936,42000,0
302,AURORA AVE N,WSDOT data,2014,8921,52000,0
303,AURORA AVE N,WSDOT data,2014,8957,35000,0
304,AURORA BR,WSDOT data,2014,8919,70000,0
305,N 145TH ST,WSDOT data,2014,15283,2700,0
306,N 145TH ST,,2014,16678,31000,0
307,NE 145TH ST,WSDOT data,2014,16695,27000,0
308,NE 145TH ST,WSDOT data,2014,16685,29000,0
309,NE 145TH ST,WSDOT data,2014,16686,28000,0
310,NE 145TH ST,WSDOT data,0,16698,24000,0
311,NE 145TH ST,WSDOT data,2014,16681,31000,0
312,SAND POINT WAY NE,WSDOT data,2014,12706,20000,0
313,NE 45TH ST,WSDOT data,2014,16863,27000,0
